player_id,name,overall,potential,position,alt_positions,category,pace,shooting,passing,dribbling,defending,physical,acceleration,agility,short_passing,long_passing,standing_tackle,sliding_tackle,def_awareness,vision,strength,position_raw,team_ids,team_names
190042,Diego Armando Maradona,94,94,CAM,"ST, RW, CF",Prime Icon / Hero,90,91,91,96,40,77,91,89,89,88,40,37,27,87,74,18,111204|132669,Classic XI / Prime Icons|Icons Pool B
237067,Pelé,94,94,CAM,"ST, CF, RW, LW",Prime Icon / Hero,93,94,91,94,58,74,92,91,93,85,49,46,53,87,73,18,111204,Classic XI / Prime Icons
1397,Zinedine Zidane,93,93,CAM,"CM, LM, RM",Prime Icon / Hero,83,90,94,94,73,84,83,77,95,94,75,64,61,91,85,18,114814|132669|132673|132701|132703,Heroes / Icons Pool A|Icons Pool B|Icons Pool C|Legends Pool 1|Legends Pool 3
37576,Ronaldo,93,93,ST,CF,Prime Icon / Hero,94,94,79,94,43,75,94,88,83,72,39,34,35,71,82,25,132669|132673|132703,Icons Pool B|Icons Pool C|Legends Pool 3
28130,Ronaldinho,92,92,LW,"CAM, LM, RW, CF",Prime Icon / Hero,91,89,90,95,38,80,92,93,90,84,39,30,36,88,82,27,114814|132669|132673,Heroes / Icons Pool A|Icons Pool B|Icons Pool C
190045,Johan Cruyff,92,92,CAM,"CF, LW, RW",Prime Icon / Hero,90,91,90,93,42,73,91,91,91,85,34,38,41,85,69,18,111204|132673,Classic XI / Prime Icons|Icons Pool C
252371,Jude Bellingham,92,88,CAM,,Prime Icon / Hero,80,85,83,89,79,85,80,82,88,86,79,81,76,67,79,18,132703,Legends Pool 3
41,Iniesta,91,91,CM,CAM,Prime Icon / Hero,83,80,91,92,62,66,85,86,94,92,62,58,56,85,58,14,132673,Icons Pool C
168473,Franz Beckenbauer,91,91,CB,"CDM, CM, SW",Prime Icon / Hero,82,73,88,84,93,81,82,79,93,94,90,89,94,74,80,5,111204,Classic XI / Prime Icons
190048,Gerd Müller,91,91,ST,CF,Prime Icon / Hero,87,92,76,85,44,74,91,82,81,65,31,30,43,65,74,25,111204,Classic XI / Prime Icons
230025,Bobby Charlton,91,91,CAM,"ST, CF",Prime Icon / Hero,90,91,87,91,50,74,90,90,87,88,46,30,49,81,67,18,111204,Classic XI / Prime Icons
